time: 0.141302 	 V: 5.9341 	 T: 27.77
time: 0.142341 	 V: 5.9341 	 T: 27.67
time: 0.143375 	 V: 5.9341 	 T: 27.67
time: 0.144411 	 V: 5.1599 	 T: 27.67
time: 0.145446 	 V: 5.9341 	 T: 27.67
time: 0.146473 	 V: 5.9341 	 T: 27.67
time: 0.147503 	 V: 5.9341 	 T: 27.67
time: 0.148539 	 V: 5.1599 	 T: 27.67
time: 0.149574 	 V: 5.9341 	 T: 27.67
time: 0.150677 	 V: 5.1599 	 T: 27.67
time: 0.151728 	 V: 5.1599 	 T: 27.67
time: 0.152766 	 V: 5.9341 	 T: 27.67
time: 0.153799 	 V: 5.9341 	 T: 27.67
time: 0.154829 	 V: 5.9341 	 T: 27.67
time: 0.155860 	 V: 5.9341 	 T: 27.67
time: 0.156897 	 V: 5.9341 	 T: 27.67
time: 0.157929 	 V: 5.9341 	 T: 27.67
time: 0.158965 	 V: 6.6184 	 T: 27.67
time: 0.160002 	 V: 5.9341 	 T: 27.67
time: 0.161040 	 V: 5.9341 	 T: 27.67
time: 0.162131 	 V: 5.9341 	 T: 27.67
time: 0.163161 	 V: 5.1599 	 T: 27.67
time: 0.164196 	 V: 5.9341 	 T: 27.67
time: 0.165302 	 V: 5.9341 	 T: 27.67
time: 0.166338 	 V: 5.9341 	 T: 27.67
time: 0.167373 	 V: 5.9341 	 T: 27.67
time: 0.168404 	 V: 5.9341 	 T: 27.67
time: 0.169434 	 V: 5.1599 	 T: 27.67
time: 0.170464 	 V: 5.9341 	 T: 27.67
time: 0.171511 	 V: 6.6184 	 T: 27.67
time: 0.172524 	 V: 5.9341 	 T: 27.67
time: 0.173532 	 V: 5.9341 	 T: 27.67
time: 0.174540 	 V: 5.9341 	 T: 27.67
time: 0.175549 	 V: 5.1599 	 T: 27.67
time: 0.176558 	 V: 5.9341 	 T: 27.67
time: 0.177567 	 V: 5.1599 	 T: 27.67
time: 0.178570 	 V: 5.1599 	 T: 27.67
time: 0.179638 	 V: 5.1599 	 T: 27.67
time: 0.180647 	 V: 5.1599 	 T: 27.67
time: 0.181766 	 V: 5.1599 	 T: 27.67
time: 0.182808 	 V: 5.1599 	 T: 27.67
time: 0.183848 	 V: 5.9341 	 T: 27.67
time: 0.184883 	 V: 5.1599 	 T: 27.67
time: 0.185919 	 V: 5.9341 	 T: 27.67
time: 0.186948 	 V: 5.9341 	 T: 27.67
time: 0.187984 	 V: 5.1599 	 T: 27.67
time: 0.189015 	 V: 5.9341 	 T: 27.67
time: 0.190052 	 V: 6.6184 	 T: 27.67
time: 0.191128 	 V: 6.6184 	 T: 27.67
time: 0.192198 	 V: 6.6184 	 T: 27.67
time: 0.193203 	 V: 5.9341 	 T: 27.67
time: 0.194253 	 V: 6.6184 	 T: 27.67
time: 0.195287 	 V: 6.6184 	 T: 27.67
time: 0.196319 	 V: 6.6184 	 T: 27.67
time: 0.197384 	 V: 6.6184 	 T: 27.67
time: 0.198388 	 V: 6.6184 	 T: 27.67
time: 0.199390 	 V: 6.6184 	 T: 27.67
time: 0.200398 	 V: 6.6184 	 T: 27.67
time: 0.201417 	 V: 7.2382 	 T: 27.67
time: 0.202408 	 V: 7.2382 	 T: 27.67
time: 0.203390 	 V: 5.9341 	 T: 27.67
time: 0.204375 	 V: 7.2382 	 T: 27.67
time: 0.205355 	 V: 5.9341 	 T: 27.67
time: 0.206343 	 V: 5.9341 	 T: 27.67
time: 0.207327 	 V: 6.6184 	 T: 27.67
time: 0.208378 	 V: 6.6184 	 T: 27.67
time: 0.209360 	 V: 6.6184 	 T: 27.67
time: 0.210347 	 V: 7.2382 	 T: 27.67
time: 0.211349 	 V: 6.6184 	 T: 27.67
time: 0.212351 	 V: 7.2382 	 T: 27.67
time: 0.213358 	 V: 6.6184 	 T: 27.67
time: 0.214363 	 V: 6.6184 	 T: 27.67
time: 0.215367 	 V: 5.9341 	 T: 27.67
time: 0.216373 	 V: 6.6184 	 T: 27.67
time: 0.217376 	 V: 6.6184 	 T: 27.67
time: 0.218386 	 V: 6.6184 	 T: 27.67
time: 0.219386 	 V: 5.9341 	 T: 27.67
time: 0.220389 	 V: 7.2382 	 T: 27.67
time: 0.221444 	 V: 6.6184 	 T: 27.67
time: 0.222529 	 V: 5.9341 	 T: 27.67
time: 0.223536 	 V: 6.6184 	 T: 27.67
time: 0.224538 	 V: 5.9341 	 T: 27.67
time: 0.225540 	 V: 6.6184 	 T: 27.67
time: 0.226544 	 V: 5.9341 	 T: 27.67
time: 0.227548 	 V: 5.9341 	 T: 27.67
time: 0.228549 	 V: 6.6184 	 T: 27.67
time: 0.229549 	 V: 5.9341 	 T: 27.67
time: 0.230555 	 V: 5.9341 	 T: 27.67
time: 0.231574 	 V: 5.9341 	 T: 27.67
time: 0.232580 	 V: 5.1599 	 T: 27.67
time: 0.233584 	 V: 5.9341 	 T: 27.67
time: 0.234586 	 V: 5.9341 	 T: 27.67
time: 0.235590 	 V: 5.9341 	 T: 27.67
time: 0.236666 	 V: 6.6184 	 T: 27.67
time: 0.237680 	 V: 5.9341 	 T: 27.77
time: 0.238683 	 V: 6.6184 	 T: 27.77
time: 0.239687 	 V: 5.9341 	 T: 27.77
time: 0.240693 	 V: 6.6184 	 T: 27.77
time: 0.241713 	 V: 5.9341 	 T: 27.77
time: 0.242719 	 V: 6.6184 	 T: 27.77
time: 0.243723 	 V: 6.6184 	 T: 27.77
time: 0.244729 	 V: 6.6184 	 T: 27.77
