
0.009898	-0.66	0.38
0.019849	-0.69	0.38
0.029643	-0.72	0.38
0.039655	-0.75	0.37
0.049639	-0.78	0.36
0.059422	-0.81	0.36
0.069198	-0.84	0.36
0.079150	-0.87	0.37
0.089042	-0.90	0.41
0.098999	-0.89	0.51
0.108974	-0.91	0.43
0.118938	-0.92	0.40
0.128912	-0.91	0.41
0.138885	-0.95	0.43
0.148691	-0.98	0.42
0.158608	-1.02	0.46
0.168573	-1.07	0.48
0.178557	-1.10	0.48
0.188446	-1.10	0.47
0.198359	-1.12	0.48
0.208182	-1.14	0.48
0.217932	-1.16	0.48
0.227833	-1.18	0.47
0.237813	-1.21	0.46
0.247788	-1.23	0.45
0.257774	-1.25	0.43
0.267730	-1.27	0.40
0.277605	-1.29	0.39
0.287444	-1.31	0.41
0.297286	-1.34	0.43
0.307191	-1.36	0.44
0.317170	-1.38	0.44
0.327143	-1.39	0.44
0.337117	-1.41	0.43
0.347088	-1.42	0.43
0.357064	-1.45	0.44
0.367026	-1.47	0.45
0.376991	-1.49	0.45
0.386908	-1.50	0.45
0.396669	-1.51	0.45
0.406551	-1.53	0.45
0.416511	-1.54	0.46
0.426473	-1.56	0.46
0.436432	-1.57	0.46
0.446732	-1.58	0.46
0.456724	-1.60	0.46
0.466679	-1.61	0.44
0.476636	-1.62	0.44
0.486489	-1.63	0.44
0.496357	-1.64	0.45
0.506344	-1.65	0.45
0.516300	-1.66	0.45
0.526268	-1.67	0.45
0.536233	-1.68	0.45
0.546178	-1.69	0.46
0.556147	-1.69	0.46
0.566107	-1.70	0.46
0.576076	-1.70	0.45
0.586050	-1.71	0.45
0.596003	-1.71	0.45
0.605983	-1.71	0.45
0.615938	-1.72	0.46
0.625904	-1.72	0.46
0.635834	-1.73	0.46
0.645718	-1.73	0.46
0.655569	-1.73	0.45
0.665500	-1.73	0.46
0.675409	-1.73	0.45
0.685396	-1.72	0.45
0.695225	-1.71	0.45
0.705103	-1.71	0.45
0.715087	-1.70	0.46
0.725063	-1.70	0.46
0.735028	-1.70	0.47
0.744992	-1.69	0.46
0.754963	-1.70	0.46
0.764921	-1.70	0.45
0.774899	-1.69	0.45
0.784872	-1.70	0.45
0.794726	-1.69	0.46
0.804709	-1.68	0.46
0.814678	-1.67	0.46
0.824646	-1.67	0.46
0.834628	-1.67	0.46
0.844598	-1.67	0.43
0.854565	-1.66	0.45
0.864533	-1.66	0.45
0.874507	-1.65	0.45
0.884516	-1.64	0.45
0.894608	-1.62	0.45
0.904378	-1.60	0.45
0.914230	-1.59	0.44
0.924212	-1.58	0.44
0.934170	-1.57	0.44
